nom_instance;config;root_obj;obj_sol1;time_sol1;gap_sol1;time;solved;feas;opt;obj;LB;gap;nb_nodes;nb_cuts;valid
inst10_0.txt; ;111;111.5;0.559394;1e+75;0.567429;1;1;1;111;111;0;190;0;1
inst10_0.txt;I ;111;129.167;0.083421;1e+75;0.112596;1;1;1;111;111;0;0;0;1
inst10_0.txt;T ;111;113;0.148154;1e+75;0.184228;1;1;1;111;111;0;7;0;1
inst10_0.txt;K ;111;115.25;0.0425851;1e+75;0.434971;1;1;1;111;111;0;123;0;1
inst10_0.txt;P ;111;113.333;0.106633;1e+75;0.128167;1;1;1;111;111;0;0;2;1
inst10_0.txt;ITK ;111;115;0.044801;1e+75;0.112857;1;1;1;111;111;0;0;0;1
inst10_0.txt;PIT ;111;111;0.441013;1e+75;0.441357;1;1;1;111;111;0;29;116;1
inst10_0.txt;PIK ;111;114.667;0.0906491;1e+75;0.111364;1;1;1;111;111;0;0;0;1
inst10_0.txt;PTK ;111;111;0.0664749;1e+75;0.0676749;1;1;1;111;111;0;0;1;1
inst10_0.txt;PITK ;111;115;0.045959;1e+75;0.113636;1;1;1;111;111;0;0;0;1
