nom_instance,config,root_obj,obj_sol1,time_sol1,gap_sol1,time,solved,feas,opt,obj,LB,gap,nb_nodes,nb_cuts,valid
inst10_0_LIN_f5.txt, ,"1,00","105,18","0,07","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"92,17","23,33","74,68",1333101,0,1
inst10_0_LIN_f5.txt,I ,"1,00","98,03","0,16","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"92,17","18,20","80,25",1318735,0,1
inst10_0_LIN_f5.txt,T ,"1,00","99,32","0,05","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"92,17","23,20","74,83",1479684,0,1
inst10_0_LIN_f5.txt,K ,"1,00","106,79","0,04","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"92,17","19,18","79,19",1338500,0,1
inst10_0_LIN_f5.txt,P ,"1,00","105,18","0,07","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"92,17","20,99","77,23",1091840,501,1
inst10_0_LIN_f5.txt,ITK ,"1,00","99,97","0,05","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"92,17","23,24","74,78",1190816,0,1
inst10_0_LIN_f5.txt,PIT ,"1,00","133,43","0,03","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"92,17","14,18","84,62",946800,500,1
inst10_0_LIN_f5.txt,PIK ,"1,00","103,36","0,10","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"92,17","16,00","82,64",775555,500,1
inst10_0_LIN_f5.txt,PTK ,"1,00","100,78","0,66","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"92,17","20,78","77,45",982543,500,1
inst10_0_LIN_f5.txt,PITK ,"1,00","99,97","0,05","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"92,17","19,48","78,86",927200,500,1
inst10_2_LIN_f5.txt, ,"39,75","105,08","0,49","1000000000000000000000000000000000000000000000000000000000000000000000000000,00","1000,00",1,1,0,"100,89","68,70","31,91",1630400,0,1
